case_seed, iteration, entropy, p01, p10, bias, scc, noxor_h_orig, err, percent_err, alg_idx, algorithm
9a3128df19b45e0935c33695622c01bb39352ad7f34ceef893920de297a8f6e6, 1, 0.025000, 0.840116, 0.017578, 0.979505, 0.142306, 0.006534, -0.018466, 73.864000, 4, T-Tuple Test Estimate
d9923be321078041cfcbcac5b4377ce0486c7583ce685ec4411f201ba64f7af4, 2, 0.025000, 0.334366, 0.017578, 0.950054, 0.648055, 0.016603, -0.008397, 33.588000, 4, T-Tuple Test Estimate
5b516f0a713a9687721e1dc4cfa15288d76feaea4c676f33f6e482186055fb61, 3, 0.025000, 0.017578, 0.831041, 0.020714, 0.151381, 0.014997, -0.010003, 40.012000, 3, tCompression Test Estimate
ef016a8609f21932bd713b4fd90be1f22062aa27c81a599315eb5a0de3f75b7c, 4, 0.025000, 0.017578, 0.564415, 0.030203, 0.418007, 0.015782, -0.009218, 36.872000, 3, tCompression Test Estimate
7893ec6c45de2e507e4d736ebb7cf8594aaef41844440baedd736b324d315ad9, 5, 0.025000, 0.032368, 0.016602, 0.660985, 0.951030, 0.020638, -0.004362, 17.448000, 4, T-Tuple Test Estimate
ce52193fa49fc183596242e1c6af3a833c169345e3ce60798f042ffc2e8d0f43, 6, 0.025000, 0.017578, 0.740924, 0.023175, 0.241498, 0.017454, -0.007546, 30.184000, 3, tCompression Test Estimate
edd0ee2991d0a2eb1c8a34508324223601a5c757c91bbace77798f926b231daf, 7, 0.025000, 0.527903, 0.017578, 0.967775, 0.454519, 0.016221, -0.008779, 35.116000, 3, tCompression Test Estimate
1f64a03c2c328b0cefaa5119c37b93926df582c81c496470cf5b94a19eae24b5, 8, 0.025000, 0.368424, 0.017578, 0.954461, 0.613998, 0.015216, -0.009784, 39.136000, 3, tCompression Test Estimate
ddba0c4939c366da67ff38d731a1a1d80eabfd5a189397c3b5c250f67365dd3e, 9, 0.025000, 0.125903, 0.017578, 0.877489, 0.856518, 0.017621, -0.007379, 29.516000, 3, tCompression Test Estimate
21ef7e5d2f88ce19136020436f36a742fa205b619de63d45861909f53878cb8a, 10, 0.025000, 0.017578, 0.967364, 0.017847, 0.015058, 0.015228, -0.009772, 39.088000, 4, T-Tuple Test Estimate
